anime,season,year,category,songname,artist,link,status
Akatsuki no Yona (Yona of the Dawn),Fall 2014,2014,Ending Theme,Yoru (夜),vistlip,https://open.spotify.com/track/7dHvtKlOWgaCZriKrSLdd7,
Akatsuki no Yona (Yona of the Dawn),Fall 2014,2014,Ending Theme,Akatsuki (暁),Akiko Shikata, ,
Akatsuki no Yona OVA (Yona of the Dawn OVA),,1900,Ending Theme,Egao no Rensa (笑顔の連鎖),Cyntia, ,
Akatsuki no Yona OVA (Yona of the Dawn OVA),,1900,Ending Theme,Akatsuki (暁),Akiko Shikata, ,
Akiba Meido Sensou (Akiba Maid War),Fall 2022,2022,Opening Theme,メイド大回転,the Ton Tokoton staff,https://open.spotify.com/track/1JwVrWPN36K6uT2AW7CcPl,
Akiba Meido Sensou (Akiba Maid War),Fall 2022,2022,Ending Theme,冥途の子守唄,Ranko Mannen (CV: Rina Sato),https://open.spotify.com/track/37j53CDehRX21OBmAKiItp,
Akira,,1900,Ending Theme,Kaneda,Geinoh Yamashiro-gumi, ,
Akkun to Kanojo (My Sweet Tyrant),Spring 2018,2018,Opening Theme,Koi no Balloon (恋のバルーン),Haruna Ooshima (大島はるな), ,
Akkun to Kanojo (My Sweet Tyrant),Spring 2018,2018,Opening Theme,We☆Pace!!,Haruna Ooshima feat. Ebisu coffret (大島はるな feat.恵比寿coffret), ,
Akkun to Kanojo (My Sweet Tyrant),Spring 2018,2018,Ending Theme,Koi no Balloon (恋のバルーン),Haruna Ooshima (大島はるな), ,
Akudama Drive,Fall 2020,2020,Opening Theme,STEAL!!,SPARK!!SOUND!!SHOW!!,https://open.spotify.com/track/1b7FQMI6JkithQfYddXOuA,
Akudama Drive,Fall 2020,2020,Ending Theme,Ready,Urashimasakatasen,https://open.spotify.com/track/25vR99CV55S13PmgHXzUOh,
Akuyaku Reijou nanode Last Boss wo Kattemimashita,Fall 2022,2022,Opening Theme,共感されなくてもいいじゃない,Rie Takahashi,https://open.spotify.com/track/1WiNgf25GMxurtnGFYRe6F,
Akuyaku Reijou nanode Last Boss wo Kattemimashita,Fall 2022,2022,Ending Theme,ノミック,ACCAMER,https://open.spotify.com/track/0gxbwxvxTBW1Z3ihlJbq6H,
Aldnoah.Zero,Summer 2014,2014,Opening Theme,heavenly blue,Kalafina,https://open.spotify.com/track/5qpUyii8Sh8DZay1IoVFtj,
Aldnoah.Zero,Summer 2014,2014,Ending Theme,heavenly blue,Kalafina,https://open.spotify.com/track/5qpUyii8Sh8DZay1IoVFtj,
Aldnoah.Zero,Summer 2014,2014,Ending Theme,A/Z,SawanoHiroyuki[nZk]:mizuki,https://open.spotify.com/track/0yUWN4UjHYZ2L7121a2C5M,
Aldnoah.Zero,Summer 2014,2014,Ending Theme,aLIEz,SawanoHiroyuki[nZk]:mizuki,https://open.spotify.com/track/1I6uKSVVYyFq5qaSa6W7Pp,
Aldnoah.Zero Part 2 (Aldnoah.Zero),Winter 2015,2015,Opening Theme,&Z,SawanoHiroyuki[nZk]:mizuki,https://open.spotify.com/track/6X2jYZpOrXiDXpOvQGcvsU,
