anime,season,year,category,songname,artist,link,status
Sirius (Sirius the Jaeger),Summer 2018,2018,Ending Theme,Hoshie (星絵),sajou no hana,https://open.spotify.com/track/2RPdbNC1RsPykQ4RqBUxPx,
Skate-Leading☆Stars (Skate-Leading Stars),Winter 2021,2021,Opening Theme,Chase the core,Takao Sakuma (佐久間貴生),https://open.spotify.com/track/0vUj3aZgsI14HIqc6QEz9u,
Skate-Leading☆Stars (Skate-Leading Stars),Winter 2021,2021,Ending Theme,JUMP,Shuugo Nakamura,https://open.spotify.com/track/2B9m7Vl49QdyIXnYMYOCmX,
SK∞ (SK8 the Infinity),Winter 2021,2021,Opening Theme,Paradise,Rude-α,https://open.spotify.com/track/72WzfFNTh8pXsZbf0P7KFO,
SK∞ (SK8 the Infinity),Winter 2021,2021,Ending Theme,Infinity (インフィニティ),Yuuri (優里),https://open.spotify.com/track/3Gj9gaVfc3HHyqcIFaSa70,
"Slime Taoshite 300-nen, Shiranai Uchi ni Level Max ni Nattemashita",Spring 2021,2021,Opening Theme,Gudafuwa Every Day (ぐだふわエブリデー),Aoi Yuuki,https://open.spotify.com/track/6dm1oiProLnoNAbvJQej7Z,
"Slime Taoshite 300-nen, Shiranai Uchi ni Level Max ni Nattemashita",Spring 2021,2021,Ending Theme,Viewtiful Days!,Azumi Waki,https://open.spotify.com/track/5A6Kb2VW9EHfYUFleCxQLf,
Somali to Mori no Kamisama (Somali and the Forest Spirit),Winter 2020,2020,Opening Theme,Arigatou wa Kocchi no Kotoba (ありがとうはこっちの言葉),Naotarou Moriyama (森山直太朗),https://open.spotify.com/track/4eN3aVT6RhsL0ZLwjDbAak,
Somali to Mori no Kamisama (Somali and the Forest Spirit),Winter 2020,2020,Ending Theme,Kokoro Somali (ココロソマリ),Inori Minase,https://open.spotify.com/track/7GH1EdR9CQzVIAmGIUUsnx,
"Sono Toki, Kanojo wa.",Fall 2018,2018,Ending Theme,Maji de Koi suru 5-byou Mae (MajiでKoiする5秒前) ,Mei Fukuda,https://open.spotify.com/track/2Us0bdI0Tirv1GlCTvXLyG,
Sora yori mo Tooi Basho (A Place Further Than The Universe),Winter 2018,2018,Opening Theme,The Girls Are Alright!,saya, ,
Sora yori mo Tooi Basho (A Place Further Than The Universe),Winter 2018,2018,Ending Theme,"Koko kara, Koko kara (ここから、ここから)","Mari Tamaki (Inori Minase), Shirase Kobuchizawa (Kana Hanazawa), Hinata Miyake (Yuka Iguchi), Yuzuki Shiraishi (Saori Hayami)",https://open.spotify.com/track/6UpUtwbt8GRFyKSJnbVFNc,
Soukou Musume Senki (LBX Girls),Winter 2021,2021,Opening Theme,Dream hopper,Rikako Aida (逢田梨香子),https://open.spotify.com/track/6upE69Ygmge0nLrNPob1Qw,
Soukou Musume Senki (LBX Girls),Winter 2021,2021,Ending Theme,Compass Song (コンパスソング),Kano,https://open.spotify.com/track/5DLE7pZlAluA5CwscqqCNs,
Sounan desu ka? (Are You Lost?),Summer 2019,2019,Opening Theme,Koko wa Doko (ココハドコ),Ahomushi (あほむし),https://open.spotify.com/track/6i31h6WRf1TdpRg9z335Kb,
Sounan desu ka? (Are You Lost?),Summer 2019,2019,Ending Theme,Ikiru (生きる),Kiyono Yasuno,https://open.spotify.com/track/68YxCQxjr9RaDCXlcJ6jTi,
Special A (Special A (S.A)),Spring 2008,2008,Opening Theme,Special Days,"Hitomi Nabatame, Yuuko Gotou, Ayahi Takagaki", ,
Special A (Special A (S.A)),Spring 2008,2008,Opening Theme,Gorgeous 4U,"Jun Fukuyama, Hiro Shimono, Tsubasa Yonaga, Kazuma Horie",https://open.spotify.com/track/7zp9EvR8Kjrn29OoA0OqXk,
Special A (Special A (S.A)),Spring 2008,2008,Ending Theme,Hidamari no Gate (陽だまりのゲート),"Jun Fukuyama, Hiro Shimono, Tsubasa Yonaga, Kazuma Horie", ,
Special A (Special A (S.A)),Spring 2008,2008,Ending Theme,Special☆Gyutto Good Luck! (スペシャル☆ギュッとGood luck!),"Yuuko Gotou, Hitomi Nabatame, Ayahi Takagaki",https://open.spotify.com/track/4HhJjBnMx6ZcRLX1y308gg,
Spy Kyoushitsu (Spy Classroom),Winter 2023,2023,Opening Theme,Tomoshibi (灯火),nonoc,https://open.spotify.com/track/4e2H9aRsdJL5oP6mqoK1ry,
Spy Kyoushitsu (Spy Classroom),Winter 2023,2023,Ending Theme,Fool on the secret,Erna (CV: Inori Minase),https://open.spotify.com/track/4CiNwmMX1sxlB67Nk1mDwd,
Spy Kyoushitsu (Spy Classroom),Winter 2023,2023,Ending Theme,Secret Code,Konomi Suzuki,https://open.spotify.com/track/5rDRlV7NvPSPbsBZyDjwCU,
Spy Kyoushitsu (Spy Classroom),Winter 2023,2023,Ending Theme,DON'T,Sibylla,https://open.spotify.com/track/0oIEAh7NvZNoQk8CIjMRoA,
Spy Kyoushitsu (Spy Classroom),Winter 2023,2023,Ending Theme,SPARKLEscape,Sara (CV: Ayane Sakura), ,
Spy Kyoushitsu (Spy Classroom),Winter 2023,2023,Ending Theme,"Itsuwarinai Koufuku o"" (偽りない幸福を)",Grete (CV: Miku Itou), ,
Spy x Family,Spring 2022,2022,Opening Theme,Mixed Nuts (ミックスナッツ),Official HIGE DANdism (Official髭男dism),https://open.spotify.com/track/60ReNXcPcsVFd7nUuQw5HZ,
Spy x Family,Spring 2022,2022,Ending Theme,Kigeki (喜劇),Gen Hoshino (星源野),https://open.spotify.com/track/6pllZAdgBf4QTcFUrF3DzL,
Spy x Family Part 2,Fall 2022,2022,Opening Theme,SOUVENIR,BUMP OF CHICKEN,https://open.spotify.com/track/7qOsSOpiL3R8RKyiBtIYNQ,
Spy x Family Part 2,Fall 2022,2022,Ending Theme,色彩,yama,https://open.spotify.com/track/1uveEvgKX4irLcp1BUTIFD,
SSSS.Dynazenon,Spring 2021,2021,Opening Theme,Imperfect (インパーフェクト),Masayoshi Ooishi,https://open.spotify.com/track/5tm0LIpYM59MmLBIFMZoUF,
SSSS.Dynazenon,Spring 2021,2021,Ending Theme,Strobe Memory (ストロボメモリー),Maaya Uchida (内田真礼),https://open.spotify.com/track/7IKfNFNkK1tEovTOaoWrud,
SSSS.Gridman,Fall 2018,2018,Opening Theme,UNION,OxT,https://open.spotify.com/track/2Op7ZaXB0Kt5zDhetTL0ZQ,
SSSS.Gridman,Fall 2018,2018,Ending Theme,youthful beautiful,Maaya Uchida,https://open.spotify.com/track/1CNoDPlTxopkb9gDvDV9QC,
Stand My Heroes: Piece of Truth,Fall 2019,2019,Opening Theme,"Thought I knew ft.ra'z, Hayes",YVY,https://open.spotify.com/track/49jXVAeqU0uf5taD4TNEar,
Stand My Heroes: Piece of Truth,Fall 2019,2019,Ending Theme,Precious My Heroes,fox capture plan feat. Issui Miyamoto (宮本一粋),https://open.spotify.com/track/7ushnMUNnxdnCYenITjTAB,
Strike the Blood,Fall 2013,2013,Opening Theme,Strike the Blood (ストライク・ザ・ブラッド),Kishida Kyoudan & The Akeboshi Rockets,https://open.spotify.com/track/0OY5p2Zr79YFH0IqTlaljw,
Strike the Blood,Fall 2013,2013,Opening Theme,Fight 4 Real,ALTIMA,https://open.spotify.com/track/7dC1IOEeqCNEXd3fvJjHpq,
Strike the Blood,Fall 2013,2013,Ending Theme,Strike the Blood (ストライク・ザ・ブラッド),Kishida Kyoudan & The Akeboshi Rockets,https://open.spotify.com/track/0OY5p2Zr79YFH0IqTlaljw,
Strike the Blood,Fall 2013,2013,Ending Theme,Strike my soul,Yuka Iguchi,https://open.spotify.com/track/7tAh14pFiFrtOAMizyeNtm,
Strike the Blood,Fall 2013,2013,Ending Theme,signal,Kanon Wakeshima,https://open.spotify.com/track/1IZ2D3KbydBNLpTP2irZAC,
Strike the Blood II (Strike the Blood Second),,1900,Opening Theme,Blood on the EDGE,Kishida Kyoudan & The Akeboshi Rockets,https://open.spotify.com/track/5WeWboQGFga60MpZ3Tcbba,
Strike the Blood II (Strike the Blood Second),,1900,Ending Theme,Fortune Number 0405 (フォーチュンナンバー0405),Yukina Himeragi (Risa Taneda),https://open.spotify.com/track/5YIGGAJniHrqDY0Rv5eZbF,
Strike the Blood: Valkyria no Oukoku-hen,,1900,Opening Theme,Little Charm Fang (リトルチャームファング),Yuka Iguchi, ,
Strike the Blood: Valkyria no Oukoku-hen,,1900,Ending Theme,Kimi wa Soleil (君はソレイユ),Kanon Wakeshima,https://open.spotify.com/track/08PQJxCd8h8JOiBjkm3ev2,
Subarashiki Kono Sekai The Animation,Spring 2021,2021,Opening Theme,Calling -Animation OP Ver.-,Leah, ,
Subarashiki Kono Sekai The Animation,Spring 2021,2021,Opening Theme,Twister -Animation OP Ver.-,MJR, ,
Subarashiki Kono Sekai The Animation,Spring 2021,2021,Ending Theme,Carpe Diem,ASCA,https://open.spotify.com/track/2twEDKgzKLoIsRPeFWlv7W,
Sugar Apple Fairy Tale,Winter 2023,2023,Opening Theme,Musical (ミュージカル),Minori Suzuki,https://open.spotify.com/track/55bmh54sKpRWq7rBD0o9Hy,
Sugar Apple Fairy Tale,Winter 2023,2023,Ending Theme,Musical (ミュージカル),Minori Suzuki,https://open.spotify.com/track/55bmh54sKpRWq7rBD0o9Hy,
Sugar Apple Fairy Tale,Winter 2023,2023,Ending Theme,Kanaeru (叶える),Sumire Morohoshi,https://open.spotify.com/track/1wRM1wMcPCq6TlgIilkB6Z,
"Suki tte Ii na yo. (Say ""I Love You."")",Fall 2012,2012,Opening Theme,Friendship ~ for Sukitte Ii na yo. (Friendship～for 好きっていいなよ。),Ritsuko Okazaki, ,
"Suki tte Ii na yo. (Say ""I Love You."")",Fall 2012,2012,Ending Theme,slow dance,Suneohair,https://open.spotify.com/track/4vOl50LbPD55ojkS16AHKh,
"Suki tte Ii na yo. (Say ""I Love You."")",Fall 2012,2012,Ending Theme,Sarari (さらり),Suneohair,https://open.spotify.com/track/7t7m1nmknDDdlplEhlnHMX,
"Suki tte Ii na yo. Dareka ga (Say ""I Love You."" OVA)",,1900,Opening Theme,Friendship ~ for Sukitte Ii na yo. (Friendship～for 好きっていいなよ。),Ritsuko Okazaki, ,
"Suki tte Ii na yo. Dareka ga (Say ""I Love You."" OVA)",,1900,Ending Theme,slow dance,Suneohair,https://open.spotify.com/track/4vOl50LbPD55ojkS16AHKh,
Summer Wars,,1900,Ending Theme,Bokura no Natsu no Yume,Tatsuro Yamashita., ,
Super Cub,Spring 2021,2021,Opening Theme,Mahou no Kaze (まほうのかぜ),Akane Kumada,https://open.spotify.com/track/6pmagdvWHvHMiy5HgXcP8x,
Super Cub,Spring 2021,2021,Ending Theme,Haru e no Dengon (春への伝言),"Yuki Yomichi, Ayaka Nanase, Natsumi Hioka",https://open.spotify.com/track/3GDyAyte0QurCU0vHLYwxl,
Super Shiro,Fall 2019,2019,Ending Theme,SUPER SHIRO,Miyuhan (みゆはん),https://open.spotify.com/track/4I06IqH4OPB6Ah1OXlBBZD,
Suzume no Tojimari (Suzume),,1900,Opening Theme,Suzume (すずめ),RADWIMPS feat. Toaka, ,
Suzume no Tojimari (Suzume),,1900,Ending Theme,"Kanata Haluka (カナタハルカ)"" ",RADWIMPS, ,
Suzumiya Haruhi no Shoushitsu,,1900,Opening Theme,Bouken Desho Desho? (冒険でしょでしょ?),Aya Hirano,https://open.spotify.com/track/2y1T5sgYNFfSQbPFRwc7iG,
Suzumiya Haruhi no Shoushitsu,,1900,Ending Theme,Yasashii Boukyaku (優しい忘却),Minori Chihara,https://open.spotify.com/track/5eHN8O4eo3E1gh7hq0R7EN,
Suzumiya Haruhi no Yuuutsu (The Melancholy of Haruhi Suzumiya),Spring 2006,2006,Opening Theme,Koi no Mikuru Densetsu (恋のミクル伝説),Yuko Goto as Mikuru Asahina,https://open.spotify.com/track/1SQ0z3rAndqnUjImZxFaB4,
Suzumiya Haruhi no Yuuutsu (The Melancholy of Haruhi Suzumiya),Spring 2006,2006,Opening Theme,Bouken Desho Desho? (冒険でしょでしょ?),Aya Hirano,https://open.spotify.com/track/2y1T5sgYNFfSQbPFRwc7iG,
Suzumiya Haruhi no Yuuutsu (The Melancholy of Haruhi Suzumiya),Spring 2006,2006,Ending Theme,Hare Hare Yukai (ハレ晴レユカイ),"Aya Hirano, Minori Chihara, and Yuko Goto",https://open.spotify.com/track/4UvfjzLmFls3J4K7FMJqiI,
Suzumiya Haruhi no Yuuutsu (The Melancholy of Haruhi Suzumiya),Spring 2006,2006,Ending Theme,Bouken Desho Desho? (冒険でしょでしょ?),Aya Hirano,https://open.spotify.com/track/2y1T5sgYNFfSQbPFRwc7iG,
Suzumiya Haruhi no Yuuutsu (2009),Spring 2009,2009,Opening Theme,Super Driver,Aya Hirano,https://open.spotify.com/track/5YBps2NB0fgTf79GJt0NAQ,
Suzumiya Haruhi no Yuuutsu (2009),Spring 2009,2009,Ending Theme,Tomare! (止マレ!),"Aya Hirano, Yuko Goto, Minori Chihara",https://open.spotify.com/track/1sCqHavey5kFrnJ1ZJRo4y,
Sword Art Online,Summer 2012,2012,Opening Theme,crossing field,LiSA,https://open.spotify.com/track/0zxgnfOWkAt0xA30KRoERq,
Sword Art Online,Summer 2012,2012,Opening Theme,INNOCENCE,Aoi Eir,https://open.spotify.com/track/0N63llGavaESfPRIZkDkvL,
Sword Art Online,Summer 2012,2012,Ending Theme,Yume Sekai (ユメセカイ),Haruka Tomatsu,https://open.spotify.com/track/1OvEX9vVeP0AlkQd3T0hHX,
Sword Art Online,Summer 2012,2012,Ending Theme,Overfly,Luna Haruna,https://open.spotify.com/track/5KQk3xqndCMM8kQkS0tfOT,
Sword Art Online,Summer 2012,2012,Ending Theme,crossing field,LiSA,https://open.spotify.com/track/0zxgnfOWkAt0xA30KRoERq,
Sword Art Online Alternative: Gun Gale Online,Spring 2018,2018,Opening Theme,Ryuusei (流星),Eir Aoi,https://open.spotify.com/track/08qU2grYIu0XldcJZ7jEOb,
Sword Art Online Alternative: Gun Gale Online,Spring 2018,2018,Ending Theme,To see the future,Karen Kohiruimaki (Tomori Kusunoki), ,
Sword Art Online Alternative: Gun Gale Online,,1900,Opening Theme,Ryuusei (流星),Eir Aoi,https://open.spotify.com/track/65nY6YE6AezagJqG3EUPua,
Sword Art Online Alternative: Gun Gale Online,,1900,Ending Theme,To see the future,Karen Kohiruimaki (Tomori Kusunoki), ,
Sword Art Online II,Summer 2014,2014,Opening Theme,IGNITE,Eir Aoi,https://open.spotify.com/track/5ivhfpfnoHhD8rUI2t3aJG,
Sword Art Online II,Summer 2014,2014,Opening Theme,courage,Haruka Tomatsu,https://open.spotify.com/track/1489XasC9uGNxGr3rXkLnX,
Sword Art Online II,Summer 2014,2014,Opening Theme,Separate Ways (セパレイト・ウェイズ),Haruka Tomatsu,https://open.spotify.com/track/1P9NZPpcxA8FePLvR9STJL,
Sword Art Online II,Summer 2014,2014,Ending Theme,IGNITE,Eir Aoi,https://open.spotify.com/track/5ivhfpfnoHhD8rUI2t3aJG,
Sword Art Online II,Summer 2014,2014,Ending Theme,Startear,Luna Haruna,https://open.spotify.com/track/48xEffQbygGNSxvZs2onCe,
Sword Art Online II,Summer 2014,2014,Ending Theme,No More Time Machine,LiSA,https://open.spotify.com/track/3w87wrXLQsUSEaqVpp7aLQ,
Sword Art Online II,Summer 2014,2014,Ending Theme,Shirushi (シルシ),LiSA,https://open.spotify.com/track/6shqTPLADEpK31Qgi8LC7k,
Sword Art Online II: Debriefing,,1900,Opening Theme,IGNITE,Eir Aoi,https://open.spotify.com/track/31SuCrp01d0kxfkbeEaVww,
Sword Art Online II: Debriefing,,1900,Ending Theme,Startear,Luna Haruna,https://open.spotify.com/track/38V08pHESW17gjuCPLyDrj,
Sword Art Online Movie: Ordinal Scale,,1900,Ending Theme,Catch the Moment,LiSA,https://open.spotify.com/track/6vRkYTrWDzzVrZTqBJFR0u,
Sword Art Online: Alicization,Fall 2018,2018,Opening Theme,ADAMAS,LiSA,https://open.spotify.com/track/6RpBs7BsS9oiHKtzJXsMOS,
Sword Art Online: Alicization,Fall 2018,2018,Opening Theme,RESISTER,ASCA,https://open.spotify.com/track/4L2A9Sgn15oYBVy64mfvqj,
Sword Art Online: Alicization,Fall 2018,2018,Ending Theme,Iris (アイリス),Eir Aoi,https://open.spotify.com/track/5CaIWDtolKHAAlI6JxMbVN,
Sword Art Online: Alicization,Fall 2018,2018,Ending Theme,forget-me-not,ReoNa,https://open.spotify.com/track/6DCOPYnwHSpJ0GCKaXdjn5,
Sword Art Online: Alicization,Fall 2018,2018,Ending Theme,Niji no Kanata ni (虹の彼方に),ReoNa,https://open.spotify.com/track/73EQPKdoo72AxZXJ7Xhiq1,
Sword Art Online: Alicization,,1900,Opening Theme,RESISTER,ASCA,https://open.spotify.com/track/5bsGv6kAydbH8VTW0xup9D,
Sword Art Online: Alicization,,1900,Ending Theme,forget-me-not,ReoNa,https://open.spotify.com/track/6DCOPYnwHSpJ0GCKaXdjn5,
Sword Art Online: Alicization,Fall 2019,2019,Opening Theme,Resolution,Haruka Tomatsu,https://open.spotify.com/track/5vaJU5vIRhx6d6lgyYR1Bb,
Sword Art Online: Alicization,Fall 2019,2019,Ending Theme,unlasting,LiSA,https://open.spotify.com/track/3SlQVRQAgsc6ac6UBM9dIk,
Sword Art Online: Alicization,Summer 2020,2020,Opening Theme,ANIMA,ReoNa,https://open.spotify.com/track/2j1r3ubqqxuoTFaPVnTV1j,
Sword Art Online: Alicization,Summer 2020,2020,Ending Theme,I will...,Eir Aoi,https://open.spotify.com/track/2BTIKSOhf3X8OA3LWbFW2U,
Sword Art Online: Alicization,Summer 2020,2020,Ending Theme,ANIMA,ReoNa,https://open.spotify.com/track/2j1r3ubqqxuoTFaPVnTV1j,
Sword Art Online: Alicization,,1900,Ending Theme,Blazing the future,"Kirito (Yoshitsugu Matsuoka), Eugeo (Shimazaki Nobunaga), and Alice (Ai Kayano)", ,
Sword Art Online: Extra Edition,,1900,Opening Theme,crossing field,LiSA,https://open.spotify.com/track/0zxgnfOWkAt0xA30KRoERq,
Sword Art Online: Extra Edition,,1900,Ending Theme,Niji no Oto (虹の音),Eir Aoi,https://open.spotify.com/track/0PQjMVtI9hNKKf7rOyV94S,
Sword Art Online: Progressive Movie,,1900,Ending Theme,Yuke (往け（ゆけ）),LiSA,https://open.spotify.com/track/4cDm9C5jhBiIyYxVhQmMwB,
Sword Art Online: Progressive Movie,,1900,Ending Theme,心臓,Eir Aoi,https://open.spotify.com/track/5jAzYu1dMEp0Mx3RCnTWrM,
Tada-kun wa Koi wo Shinai (Tada Never Falls in Love),Spring 2018,2018,Opening Theme,Otomodachi Film (オトモダチフィルム),Masayoshi Ooishi, ,
Tada-kun wa Koi wo Shinai (Tada Never Falls in Love),Spring 2018,2018,Ending Theme,Love Song (ラブソング),Teresa Wagner (CV: Manaka Iwami), ,
Taisou Zamurai (The Gymnastics Samurai),Fall 2020,2020,Opening Theme,Shanghai Honey (上海ハニー),"Joutarou Aragaki (Daisuke Namikawa), Leonardo (Kensho Ono), Tetsuo Minamino (Yuki Kaji)", ,
Taisou Zamurai (The Gymnastics Samurai),Fall 2020,2020,Ending Theme,Shanghai Honey (上海ハニー),"Joutarou Aragaki (Daisuke Namikawa), Leonardo (Kensho Ono), Tetsuo Minamino (Yuki Kaji)", ,
Taisou Zamurai (The Gymnastics Samurai),Fall 2020,2020,Ending Theme,Yume ja Nai (夢?（ゆめじゃない）),Hatena (はてな),https://open.spotify.com/track/1DAJpvV2JWXgx1RMR2qyBq,
Tamayomi (TAMAYOMI: The Baseball Girls),Spring 2020,2020,Opening Theme,Never Let You Go!,Naho (七穂),https://open.spotify.com/track/5cxnkH3kOL0F1dgqlfphMW,
Tamayomi (TAMAYOMI: The Baseball Girls),Spring 2020,2020,Ending Theme,Plus Minus Zero no Housoku (プラスマイナスゼロの法則),Shingoshigaya Koukou Joshi Yakyuubu (新越谷高校女子野球部),https://open.spotify.com/track/5FeKAEY2ElKyqm0FUqzcLq,
"Tantei wa Mou, Shindeiru. (The Detective Is Already Dead)",Summer 2021,2021,Opening Theme,Koko de Ikiteru. (ここで生きてる。),Mary x jon-YAKITORY (めありー×jon-YAKITORY),https://open.spotify.com/track/18MFFBKQ9ocC5ylPHlRfBH,
"Tantei wa Mou, Shindeiru. (The Detective Is Already Dead)",Summer 2021,2021,Ending Theme,Koko de Ikiteru. (ここで生きてる。),Mary x jon-YAKITORY (めありー×jon-YAKITORY),https://open.spotify.com/track/18MFFBKQ9ocC5ylPHlRfBH,
"Tantei wa Mou, Shindeiru. (The Detective Is Already Dead)",Summer 2021,2021,Ending Theme,Kodou (鼓動),Nana Kagura (カグラナナ),https://open.spotify.com/track/0PgUk4FCxnsqIeHDzAbW2O,
Tate no Yuusha no Nariagari (The Rising of the Shield Hero),Winter 2019,2019,Opening Theme,RISE,MADKID,https://open.spotify.com/track/1p8B91IjEd9fjOPOSsEN75,
Tate no Yuusha no Nariagari (The Rising of the Shield Hero),Winter 2019,2019,Opening Theme,FAITH,MADKID,https://open.spotify.com/track/44lKrkOoVAfim3282BcnUc,
Tate no Yuusha no Nariagari (The Rising of the Shield Hero),Winter 2019,2019,Ending Theme,RISE,MADKID, ,
Tate no Yuusha no Nariagari (The Rising of the Shield Hero),Winter 2019,2019,Ending Theme,Kimi no Namae (きみの名前),Chiai Fujikawa (藤川千愛),https://open.spotify.com/track/5BbCTsFpRotDXwfdvnw6DI,
Tate no Yuusha no Nariagari (The Rising of the Shield Hero),Winter 2019,2019,Ending Theme,Falling Through Starlight,Asami Seto,https://open.spotify.com/track/6FUTdasbZ23AIuIWfEekZ8,
Tate no Yuusha no Nariagari (The Rising of the Shield Hero),Winter 2019,2019,Ending Theme,Atashi ga Tonari ni Iru Uchi ni (あたしが隣にいるうちに),Chiai Fujikawa (藤川千愛),https://open.spotify.com/track/2OIDODhCwRMp217BXRgkRM,
Tatoeba Last Dungeon Mae no Mura no Shounen ga Joban no Machi de Kurasu Youna Monogatari,Winter 2021,2021,Opening Theme,Tatoeba Sore wa Yuuki no Mahou (たとえばそれは勇気の魔法),Haruka Yamazaki,https://open.spotify.com/track/3lYXEFRnsSbcrAOwPrVxeX,
Tatoeba Last Dungeon Mae no Mura no Shounen ga Joban no Machi de Kurasu Youna Monogatari,Winter 2021,2021,Ending Theme,I'mpossible?,Luce Twinkle Wink☆,https://open.spotify.com/track/74Qw7z6i88vnSanzuzOp7l,
Tejina-senpai (Magical Sempai),Summer 2019,2019,Opening Theme,FANTASTIC ILLUSION,i☆Ris,https://open.spotify.com/track/4nGPoqgNCPD9AD4qbSQO3l,
Tejina-senpai (Magical Sempai),Summer 2019,2019,Ending Theme,Dame wa Dame (ダメハダメ),Minori Suzuki,https://open.spotify.com/track/4vD8z9TDKSb0eqJ2SD5nIe,
Tenchi Souzou Design-bu (Heaven's Design Team),Winter 2021,2021,Opening Theme,Give It Up?,96neko (96猫),https://open.spotify.com/track/6dJqNfKmEz64garAEuZBtp,
Tenchi Souzou Design-bu (Heaven's Design Team),Winter 2021,2021,Ending Theme,DESIGNED BY HEAVEN!,"Shimoda (Junya Enoki), Ueda (Yumo Hara)",https://open.spotify.com/track/5msvHBRISmdCmdqua2KfJi,
Tenchi Souzou Design-bu: Idea 13 (Heaven's Design Team: Idea 13),,1900,Opening Theme,Give It Up?,96neko (96猫),https://open.spotify.com/track/6dJqNfKmEz64garAEuZBtp,
Tenchi Souzou Design-bu: Idea 13 (Heaven's Design Team: Idea 13),,1900,Ending Theme,DESIGNED BY HEAVEN!,"Shimoda (Junya Enoki), Ueda (Yumo Hara)",https://open.spotify.com/track/5msvHBRISmdCmdqua2KfJi,
Tenka Hyakken: Meiji-kan e Youkoso!,Fall 2019,2019,Opening Theme,"Aka, Hana o Sakasete",Ohanamishuu Tsubaki-gumi,https://open.spotify.com/track/2kWM9Ba0HuGcoCmac3Ky6l,
Tenki no Ko (Weathering with You),,1900,Ending Theme,Ai ni Dekiru Koto wa Mada Aru Kai (愛にできることはまだあるかい; Is There Still Anything That Love Can Do?),RADWIMPS,https://open.spotify.com/track/0PUoNLjLtrSCNwIvvbERS2,
Tenki no Ko (Weathering with You),,1900,Ending Theme,Daijoubu (Movie Edit) (大丈夫; We'll be Alright),RADWIMPS,https://open.spotify.com/track/3TkNG3lYmJHk2Ftj4zy0I5,
Tensai Ouji no Akaji Kokka Saisei Jutsu,Winter 2022,2022,Opening Theme,LEVEL,Nagi Yanagi and THE SIXTH LIE,https://open.spotify.com/track/5KAGowqL2Rfmocrgh9cKjF,
Tensai Ouji no Akaji Kokka Saisei Jutsu,Winter 2022,2022,Ending Theme,Hitori to Kimi to (ヒトリとキミと),Yoshino Nanjou,https://open.spotify.com/track/7Lr6zxhUdO5mwu5pGItYAu,
Tensei shitara Ken deshita (Reincarnated as a Sword),Fall 2022,2022,Opening Theme,Tensei Shitara Ken deshita (転生したら剣でした),Kishida Kyoudan & The Akeboshi Rockets, ,
Tensei shitara Ken deshita (Reincarnated as a Sword),Fall 2022,2022,Ending Theme,more＜STRONGLY,Maon Kurosaki (黒崎真音), ,
Tensei shitara Slime Datta Ken,Fall 2018,2018,Opening Theme,Nameless story,Takuma Terashima,https://open.spotify.com/track/0DR2YxEHLwmb3ZLcqHbjN2,
Tensei shitara Slime Datta Ken,Fall 2018,2018,Opening Theme,Meguru Mono (メグルモノ),Takuma Terashima,https://open.spotify.com/track/4ssMX3TcBfOlyWRvQxJywV,
Tensei shitara Slime Datta Ken,Fall 2018,2018,Ending Theme,Nameless story,Takuma Terashima,https://open.spotify.com/track/0DR2YxEHLwmb3ZLcqHbjN2,
Tensei shitara Slime Datta Ken,Fall 2018,2018,Ending Theme,Another colony,TRUE,https://open.spotify.com/track/3pJIBjrTwknFm7orJJM3YH,
Tensei shitara Slime Datta Ken,Fall 2018,2018,Ending Theme,Little Soldier (リトルソルジャー),Azusa Tadokoro,https://open.spotify.com/track/4ESR8uG70TFcWKqtePEJpo,
Tensei shitara Slime Datta Ken 2nd Season,Winter 2021,2021,Opening Theme,Storyteller,TRUE,https://open.spotify.com/track/1bylyPZfjMgMEi92lW8nEt,
Tensei shitara Slime Datta Ken 2nd Season,Winter 2021,2021,Ending Theme,STORYSEEKER,STEREO DIVE FOUNDATION,https://open.spotify.com/track/4eBgSyDDQqKHyxCvkqghs7,
Tensei shitara Slime Datta Ken 2nd Season Part 2,Summer 2021,2021,Opening Theme,Like Flames,MindaRyn,https://open.spotify.com/track/33w3r7av1feaIpEoIdCFyv,
Tensei shitara Slime Datta Ken 2nd Season Part 2,Summer 2021,2021,Ending Theme,Reincarnate,Takuma Terashima,https://open.spotify.com/track/5osgKGvGB4ZEvkw406QxDr,
Tensei shitara Slime Datta Ken 2nd Season: Kanwa,,1900,Opening Theme,Storyteller,TRUE,https://open.spotify.com/track/1bylyPZfjMgMEi92lW8nEt,
Tensei shitara Slime Datta Ken 2nd Season: Kanwa,,1900,Ending Theme,STORYSEEKER,STEREO DIVE FOUNDATION,https://open.spotify.com/track/4eBgSyDDQqKHyxCvkqghs7,
Tensei shitara Slime Datta Ken Movie: Guren no Kizuna-hen,,1900,Ending Theme,Make Me Feel Better,MindaRyn,https://open.spotify.com/track/2DZkB3PFBSmmNqUHL9F9K8,
Tensei shitara Slime Datta Ken OVA,,1900,Opening Theme,Nameless story,Takuma Terashima,https://open.spotify.com/track/0DR2YxEHLwmb3ZLcqHbjN2,
Tensei shitara Slime Datta Ken OVA,,1900,Opening Theme,Meguru Mono (メグルモノ),Takuma Terashima,https://open.spotify.com/track/4ssMX3TcBfOlyWRvQxJywV,
Tensei shitara Slime Datta Ken OVA,,1900,Ending Theme,Another colony,TRUE,https://open.spotify.com/track/3pJIBjrTwknFm7orJJM3YH,
