AnimeTitle,ID,Status
Goblin Slayer: Bouken Kiroku Youshi - Adventure Sheet,38807,Completed
Goblin Slayer: Goblin's Crown,39576,Completed
Godzilla: S.P,43229,Completed
Gokukoku no Brynhildr,21431,Completed
Gokukoku no Brynhildr: Kara Sawagi,24695,Completed
Gokushufudou,43692,Completed
Golden Time,17895,Completed
Gosick,8425,Completed
Gotcha!,42984,Completed
Granbelm,39417,Completed
Grancrest Senki,34279,Completed
Grancrest Senki: Tsuisou,37505,Completed
Grand Blue,37105,Completed
Great Pretender,40052,Completed
Green Green,133,Plan to Watch
Grimms Notes The Animation,37154,Dropped
Guilty Crown,10793,Completed
Guilty Crown: 4-koma Gekijou,13561,Completed
Guilty Crown: Lost Christmas - An Episode of Port Town,13411,Completed
Gunjou no Magmell,37806,Completed
Guraburu!,41574,Completed
Gyo,10417,Completed
Gyokou no Nikuko-chan,45620,Completed
"Hachi-nan tte, Sore wa Nai deshou!",38830,Completed
Hachigatsu no Cinderella Nine,38091,Dropped
Hadashi no Gen,1824,Plan to Watch
Hai to Gensou no Grimgar,31859,Completed
Hai to Gensou no Grimgar: Furoagari no Kabe ni Kaketa Seishun - One More Centimeter,32561,Completed
Haibane Renmei,387,Plan to Watch
Hajimete no Gal,34403,Completed
Hajimete no Gal: Hajimete no Bunkasai,35237,Completed
Hakubo,34972,Completed
Hakumei to Mikochi,36094,Plan to Watch
Hal,16528,Plan to Watch
Hametsu no Mars,413,Completed
Hand Shakers,32981,Completed
Hangyakusei Million Arthur,37555,Dropped
Happy Sugar Life,37517,Completed
Harmony,28211,Plan to Watch
HaruChika: Haruta to Chika wa Seishun suru,30895,Completed
Hashiri Tsuzukete Yokatta tte.,38254,Completed
Hataage! Kemono Michi,39030,Completed
Hataraku Maou-sama!,15809,Completed
Hataraku Saibou,37141,Completed
Hataraku Saibou Black,41694,Completed
Hataraku Saibou Specials,39605,Completed
Hataraku Saibou!!,39586,Completed
Hataraku Saibou: Kaze Shoukougun,38733,Completed
