,Unnamed: 0,anime,season,year,category,songname,artist,link,extra,status
131,131,Chio-chan no Tsuugakuro (Chio's School Road),Summer 2018,2018,Ending Theme,Nanairoad (ナナイロード),Chio Miyamo (CV_ Naomi Oozora) and Manana Nonomura (CV_ Chiaki Omigawa),https://www.youtube.com/watch?v=CoRlAN2FCm4,Chio-chan no Tsuugakuro OP - Danger in my Tsuugakuro (instrumental),sus
132,132,Chuubyou Gekihatsu Boy (Outburst Dreamer Boys),Fall 2019,2019,Opening Theme,Chuubyou Gekihatsu Boy (厨病激発ボーイ),Minagami Koukou Hero Bu (皆神高校ヒーロ一部),https://www.youtube.com/watch?v=hboYWiixGH8,Chuubyou Gekihatsu Boy OP FULL [ Music Video ],
133,133,Clockwork Planet,Spring 2017,2017,Ending Theme,Anti Clockwise,After the Rain (そらる x まふまふ),https://www.youtube.com/watch?v=vkISTgA3DZs,【MV】Anti-clockwise/After the Rain(Soraru×Mafumafu)【Clock work planet ED】,
134,134,Conception,Fall 2018,2018,Ending Theme,Sailor Suit and Machine Gun,Alfie (Ai Kakuma),https://www.youtube.com/watch?v=g-Jh3FTwlUI,Sailor Suit and Machine Gun AKA Sera Fuku to Kikanju TV Spot (1981),
135,135,"Cool Doji Danshi (Play It Cool, Guys)",Fall 2022,2022,Opening Theme,Seishun Kippu (青春切符),Mafumafu,https://www.youtube.com/watch?v=R1oGwmHYnUQ,【MV】青春切符／まふまふ　TVアニメ『クールドジ男子』OPテーマ,
136,136,"Cool Doji Danshi (Play It Cool, Guys)",Fall 2022,2022,Ending Theme,Flash!,"PICG [Hayate Ichikura (CV_ Chiaki Kobayashi), Shun Futami (CV_ Kouki Uchiyama), Takayuki Mima (CV_ Yuuichirou Umehara), Souma Shiki (CV_ Shouya Chiba)]",https://www.youtube.com/watch?v=gQbi35JS3qE,"[ENG SUB] Play it Cool, Guys | Official Trailer",
137,137,"Cool Doji Danshi (Play It Cool, Guys)",Fall 2022,2022,Ending Theme,Taisetsu (たいせつ),"PICG [Hayate Ichikura (CV_ Chiaki Kobayashi), Shun Futami (CV_ Kouki Uchiyama), Takayuki Mima (CV_ Yuuichirou Umehara), Souma Shiki (CV_ Shouya Chiba), Motoharu Igarashi (CV_ Makoto Furukawa)]",https://www.youtube.com/watch?v=4TKHZYRRshM,マンガ読書記録＋まとめ（恋愛三昧）,
138,138,Danshi Koukousei no Nichijou (Daily Lives of High School Boys),Winter 2012,2012,Opening Theme,Shiny tale,"Mix Speaker's,Inc_",https://www.youtube.com/watch?v=3boiSv9falo,"【PV】Mix Speaker's,Inc.「Shiny tale」FULL",
139,139,Danshi Koukousei no Nichijou (Daily Lives of High School Boys),Winter 2012,2012,Opening Theme,Ohisama (おひさま),Amesaki Annainin (雨先案内人),https://www.youtube.com/watch?v=F1lR74swa_c,雨先案内人 - おひさま,
140,140,Danshi Koukousei no Nichijou (Daily Lives of High School Boys),Winter 2012,2012,Ending Theme,Bungaku Shoujo (文学少女),ENA,https://www.youtube.com/watch?v=fQr4mrSE_hE,Bungaku Shoujo ~long ver.~ [HIKASA YOUKO],
141,141,Danshi Koukousei no Nichijou (Daily Lives of High School Boys),Winter 2012,2012,Ending Theme,Ohisama (おひさま),Amesaki Annainin (雨先案内人),https://www.youtube.com/watch?v=F1lR74swa_c,雨先案内人 - おひさま,
142,142,Danshi Koukousei no Nichijou (Daily Lives of High School Boys),Winter 2012,2012,Ending Theme,Shiny tale,"Mix Speaker's,Inc_",https://www.youtube.com/watch?v=3boiSv9falo,"【PV】Mix Speaker's,Inc.「Shiny tale」FULL",
